               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023071,            0.015902,            0.010716,               0.955,             0.97267,             0.97801,             0.76099,            0.015311,           0.0077856,           0.0044638,             0.00307,             0.00307,             0.00307
                  37,            0.023048,            0.015907,            0.010426,             0.95752,             0.97471,             0.97716,             0.76224,            0.015166,           0.0077516,           0.0045633,            0.002872,            0.002872,            0.002872
                  38,             0.02291,            0.015927,            0.010233,             0.96172,             0.97456,             0.98076,             0.76682,            0.015284,           0.0077632,            0.004567,            0.002674,            0.002674,            0.002674
                  39,            0.022784,            0.015811,            0.010427,             0.95287,             0.97309,             0.98096,             0.76476,            0.015252,           0.0077465,           0.0045687,            0.002476,            0.002476,            0.002476
                  40,            0.022558,            0.015811,           0.0099794,             0.95417,             0.96955,             0.97979,             0.76221,            0.015312,            0.007737,           0.0044172,            0.002278,            0.002278,            0.002278
                  41,            0.022461,            0.015752,           0.0098923,             0.95549,             0.97012,             0.97709,             0.76364,            0.015305,            0.007737,           0.0044643,             0.00208,             0.00208,             0.00208
                  42,            0.022286,            0.015388,           0.0098143,             0.95797,             0.96799,             0.97555,             0.76919,            0.015219,           0.0077685,            0.005041,            0.001882,            0.001882,            0.001882
                  43,            0.022159,            0.015661,           0.0095687,             0.95298,             0.97307,             0.97562,             0.77237,            0.015147,           0.0077039,           0.0044836,            0.001684,            0.001684,            0.001684
                  44,             0.02214,            0.015351,           0.0093082,             0.96602,             0.97404,             0.97877,             0.76785,            0.015158,            0.007753,           0.0045704,            0.001486,            0.001486,            0.001486
                  45,            0.021949,            0.015736,           0.0091526,             0.96555,              0.9627,             0.97632,             0.77306,            0.015109,            0.007698,           0.0043514,            0.001288,            0.001288,            0.001288
                  46,            0.021908,            0.015301,           0.0089829,             0.96181,             0.97358,             0.97957,             0.77083,            0.015108,           0.0076847,           0.0043255,             0.00109,             0.00109,             0.00109
                  47,              0.0216,            0.015426,           0.0090827,              0.9613,             0.97369,             0.97804,             0.76935,            0.015117,           0.0076745,           0.0043585,            0.000892,            0.000892,            0.000892
                  48,            0.021688,            0.015095,           0.0090116,             0.96527,             0.97379,             0.97976,             0.77397,            0.015151,           0.0077106,           0.0043925,            0.000694,            0.000694,            0.000694
                  49,             0.02166,            0.015218,           0.0089369,             0.96757,             0.97551,             0.98015,             0.77289,            0.015139,           0.0077093,           0.0042976,            0.000496,            0.000496,            0.000496
